feature_name,day_of_week,month,previous_peak,previous_out,previous_denied,out_count,denied_count,queued_count,unique_users,peak_concurrent,target_peak
ADAMS_View,0,5,2,4,0,3,0,0,7,1,4
ADAMS_View,1,5,1,3,0,8,3,0,15,4,6
ADAMS_View,2,5,4,8,3,7,1,0,8,6,3
ADAMS_View,3,5,6,7,1,4,1,0,5,3,5
ADAMS_View,4,5,3,4,1,5,0,0,5,5,3
ADAMS_View,5,5,5,5,0,4,3,0,9,3,4
ADAMS_View,6,5,3,4,3,4,3,0,7,4,1
ADAMS_View,0,5,4,4,3,2,2,0,12,1,2
ADAMS_View,1,5,1,2,2,4,1,0,9,2,4
ADAMS_View,2,5,2,4,1,6,0,0,7,4,4
ADAMS_View,3,5,4,6,0,4,0,0,7,4,1
ADAMS_View,4,5,4,4,0,3,0,0,9,1,1
ADAMS_View,5,5,1,3,0,3,0,0,8,1,1
CRADLE_CFD,5,5,3,3,0,4,1,0,7,4,5
CRADLE_CFD,6,5,4,4,1,5,1,0,11,5,5
CRADLE_CFD,0,5,5,5,1,5,0,0,8,5,7
CRADLE_CFD,1,5,5,5,0,7,0,0,10,7,0
CRADLE_CFD,2,5,7,7,0,0,0,0,4,0,1
CRADLE_CFD,3,5,0,0,0,1,0,0,8,1,2
CRADLE_CFD,4,5,1,1,0,2,0,0,7,2,3
CRADLE_CFD,5,5,2,2,0,3,2,0,7,3,3
CRADLE_CFD,6,5,3,3,2,3,2,0,10,3,6
CRADLE_CFD,0,5,3,3,2,6,1,0,8,6,3
CRADLE_CFD,1,5,6,6,1,3,1,0,5,3,5
CRADLE_CFD,2,5,3,3,1,5,2,0,7,5,5
CRADLE_CFD,3,5,5,5,2,5,2,0,10,5,5
CRADLE_CFD,4,5,5,5,2,5,0,0,8,5,5
CRADLE_CFD,5,5,5,5,0,5,1,0,7,5,9
CRADLE_CFD,6,5,5,5,1,9,0,0,13,9,7
CRADLE_CFD,0,5,9,9,0,7,0,0,9,7,5
CRADLE_CFD,1,5,7,7,0,5,0,0,5,5,5
CRADLE_CFD,2,5,5,5,0,5,1,2,12,5,6
CRADLE_CFD,3,5,5,5,1,6,2,0,11,6,7
CRADLE_CFD,4,5,6,6,2,7,1,1,13,7,5
CRADLE_CFD,5,5,7,7,1,5,2,0,8,5,3
CRADLE_CFD,6,5,5,5,2,3,0,0,7,3,5
CRADLE_CFD,0,5,3,3,0,5,1,0,12,5,5
CRADLE_CFD,1,5,5,5,1,5,1,0,8,5,4
CRADLE_CFD,2,5,5,5,1,4,0,0,6,4,2
CRADLE_CFD,3,5,4,4,0,2,1,1,8,2,3
CRADLE_CFD,4,5,2,2,1,3,1,0,7,3,4
CRADLE_CFD,5,5,3,3,1,4,2,0,9,4,3
DIGIMAT_MF,5,5,3,3,0,4,0,1,8,4,3
DIGIMAT_MF,6,5,4,4,0,3,1,0,5,3,6
DIGIMAT_MF,0,5,3,3,1,6,0,0,8,6,2
DIGIMAT_MF,1,5,6,6,0,2,0,0,6,2,5
DIGIMAT_MF,2,5,2,2,0,5,0,0,9,5,4
DIGIMAT_MF,3,5,5,5,0,4,0,0,7,4,2
DIGIMAT_MF,4,5,4,4,0,2,0,0,7,2,6
DIGIMAT_MF,5,5,2,2,0,6,0,0,9,6,5
DIGIMAT_MF,6,5,6,6,0,5,1,1,13,5,3
DIGIMAT_MF,0,5,5,5,1,3,1,0,9,3,4
DIGIMAT_MF,1,5,3,3,1,4,0,0,6,4,2
DIGIMAT_MF,2,5,4,4,0,2,0,0,6,2,3
DIGIMAT_MF,3,5,2,2,0,3,1,0,4,3,1
DIGIMAT_MF,4,5,3,3,1,1,2,0,6,1,4
DIGIMAT_MF,5,5,1,1,2,4,0,0,8,4,6
DIGIMAT_MF,6,5,4,4,0,6,0,0,9,6,7
DIGIMAT_MF,0,5,6,6,0,7,1,0,8,7,3
DIGIMAT_MF,1,5,7,7,1,3,0,0,5,3,8
DIGIMAT_MF,2,5,3,3,0,8,1,1,12,8,3
DIGIMAT_MF,3,5,8,8,1,3,2,0,12,3,4
DIGIMAT_MF,4,5,3,3,2,4,0,0,6,4,4
DIGIMAT_MF,5,5,4,4,0,4,0,0,8,4,2
DIGIMAT_MF,6,5,4,4,0,2,3,1,7,2,5
DIGIMAT_MF,0,5,2,2,3,5,0,0,7,5,1
DIGIMAT_MF,1,5,5,5,0,1,2,0,9,1,4
DIGIMAT_MF,2,5,1,1,2,4,0,0,7,4,7
DIGIMAT_MF,3,5,4,4,0,7,2,0,11,7,5
DIGIMAT_MF,4,5,7,7,2,5,0,0,7,5,4
DIGIMAT_MF,5,5,5,5,0,4,1,0,5,4,0
DYTRAN,5,5,3,4,0,3,0,0,4,2,2
DYTRAN,6,5,2,3,0,3,1,0,5,2,4
DYTRAN,0,5,2,3,1,4,2,0,6,4,1
DYTRAN,1,5,4,4,2,5,1,0,12,1,3
DYTRAN,2,5,1,5,1,4,1,0,6,3,4
DYTRAN,3,5,3,4,1,6,1,0,12,4,2
DYTRAN,4,5,4,6,1,4,0,0,6,2,1
DYTRAN,5,5,2,4,0,2,1,0,6,1,4
DYTRAN,6,5,1,2,1,5,2,0,12,4,3
DYTRAN,0,5,4,5,2,6,2,0,11,3,1
DYTRAN,1,5,3,6,2,2,0,0,7,1,3
DYTRAN,2,5,1,2,0,4,1,0,10,3,3
DYTRAN,3,5,3,4,1,7,1,0,10,3,3
DYTRAN,4,5,3,7,1,4,0,1,9,3,3
DYTRAN,5,5,3,4,0,5,2,0,10,3,3
DYTRAN,6,5,3,5,2,3,0,0,4,3,2
DYTRAN,0,5,3,3,0,2,0,0,4,2,5
DYTRAN,1,5,2,2,0,6,0,0,9,5,4
DYTRAN,2,5,5,6,0,6,1,1,10,4,3
DYTRAN,3,5,4,6,1,5,0,0,9,3,1
DYTRAN,4,5,3,5,0,1,1,0,9,1,1
DYTRAN,5,5,1,1,1,1,0,0,4,1,3
DYTRAN,6,5,1,1,0,7,1,0,11,3,3
DYTRAN,0,5,3,7,1,7,2,0,11,3,2
DYTRAN,1,5,3,7,2,4,1,0,8,2,4
DYTRAN,2,5,2,4,1,4,1,0,5,4,5
DYTRAN,3,5,4,4,1,6,1,1,11,5,2
DYTRAN,4,5,5,6,1,3,1,0,9,2,1
DYTRAN,5,5,2,3,1,4,1,0,10,1,1
MARC,5,5,4,4,2,5,4,0,8,4,5
MARC,6,5,4,5,4,5,1,0,9,5,1
MARC,0,5,5,5,1,2,2,0,9,1,4
MARC,1,5,1,2,2,5,1,0,7,4,1
MARC,2,5,4,5,1,2,2,0,12,1,5
MARC,3,5,1,2,2,6,1,1,11,5,3
MARC,4,5,5,6,1,4,1,0,6,3,5
MARC,5,5,3,4,1,6,2,0,15,5,2
MARC,6,5,5,6,2,3,2,0,9,2,7
MARC,0,5,2,3,2,9,1,0,10,7,1
MARC,1,5,7,9,1,4,2,1,10,1,3
MARC,2,5,1,4,2,6,0,0,10,3,3
MARC,3,5,3,6,0,3,0,0,4,3,3
MARC,4,5,3,3,0,4,2,0,9,3,5
MARC,5,5,3,4,2,5,1,0,6,5,1
MARC,6,5,5,5,1,4,0,0,10,1,8
MARC,0,5,1,4,0,10,1,1,11,8,6
MARC,1,5,8,10,1,8,0,0,9,6,3
MARC,2,5,6,8,0,5,1,0,10,3,2
MARC,3,5,3,5,1,5,0,0,11,2,1
MARC,4,5,2,5,0,3,1,0,7,1,3
MARC,5,5,1,3,1,3,0,0,5,3,6
MARC,6,5,3,3,0,10,0,0,12,6,2
MARC,0,5,6,10,0,7,0,0,14,2,5
MARC,1,5,2,7,0,6,1,0,12,5,2
MARC,2,5,5,6,1,6,1,0,9,2,1
MARC,3,5,2,6,1,3,0,0,8,1,3
MARC,4,5,1,3,0,4,0,1,10,3,3
MARC,5,5,3,4,0,6,0,0,9,3,0
Mentat,5,5,1,1,1,6,1,1,11,5,3
Mentat,6,5,5,6,1,3,0,0,5,3,6
Mentat,0,5,3,3,0,8,1,0,12,6,2
Mentat,1,5,6,8,1,3,0,0,6,2,3
Mentat,2,5,2,3,0,3,1,0,5,3,2
Mentat,3,5,3,3,1,5,0,1,9,2,2
Mentat,4,5,2,5,0,4,1,0,9,2,3
Mentat,5,5,2,4,1,7,1,0,11,3,2
Mentat,6,5,3,7,1,5,0,0,7,2,4
Mentat,0,5,2,5,0,5,0,0,8,4,5
Mentat,1,5,4,5,0,5,0,0,4,5,3
Mentat,2,5,5,5,0,5,1,0,9,3,2
Mentat,3,5,3,5,1,5,1,0,10,2,2
Mentat,4,5,2,5,1,5,1,0,12,2,7
Mentat,5,5,2,5,1,7,0,0,8,7,1
Mentat,6,5,7,7,0,1,0,0,7,1,2
Mentat,0,5,1,1,0,3,0,0,7,2,3
Mentat,1,5,2,3,0,4,0,1,10,3,1
Mentat,2,5,3,4,0,3,0,0,6,1,1
Mentat,3,5,1,3,0,5,0,0,11,1,7
Mentat,4,5,1,5,0,9,1,0,12,7,0
Mentat,5,5,7,9,1,0,0,1,4,0,1
Mentat,6,5,0,0,0,1,1,0,8,1,3
Mentat,0,5,1,1,1,6,0,0,11,3,1
Mentat,1,5,3,6,0,2,0,0,5,1,5
Mentat,2,5,1,2,0,7,1,0,10,5,3
Mentat,3,5,5,7,1,3,2,1,5,3,4
Mentat,4,5,3,3,2,7,1,0,13,4,1
Mentat,5,5,4,7,1,2,1,0,4,1,2
MSC_Apex_Analyst,5,5,2,2,0,4,1,0,10,4,3
MSC_Apex_Analyst,6,5,4,4,1,3,0,0,8,3,4
MSC_Apex_Analyst,0,5,3,3,0,4,1,0,7,4,6
MSC_Apex_Analyst,1,5,4,4,1,6,0,0,8,6,5
MSC_Apex_Analyst,2,5,6,6,0,5,0,0,10,5,0
MSC_Apex_Analyst,3,5,5,5,0,0,1,0,7,0,4
MSC_Apex_Analyst,4,5,0,0,1,4,0,1,9,4,5
MSC_Apex_Analyst,5,5,4,4,0,5,0,0,7,5,2
MSC_Apex_Analyst,6,5,5,5,0,2,1,0,4,2,6
MSC_Apex_Analyst,0,5,2,2,1,6,1,0,12,6,1
MSC_Apex_Analyst,1,5,6,6,1,1,1,1,4,1,4
MSC_Apex_Analyst,2,5,1,1,1,4,0,1,9,4,4
MSC_Apex_Analyst,3,5,4,4,0,4,2,0,10,4,6
MSC_Apex_Analyst,4,5,4,4,2,6,0,0,10,6,3
MSC_Apex_Analyst,5,5,6,6,0,3,0,0,9,3,6
MSC_Apex_Analyst,6,5,3,3,0,6,0,0,7,6,6
MSC_Apex_Analyst,0,5,6,6,0,6,1,1,13,6,3
MSC_Apex_Analyst,1,5,6,6,1,3,1,0,9,3,3
MSC_Apex_Analyst,2,5,3,3,1,3,1,0,6,3,2
MSC_Apex_Analyst,3,5,3,3,1,2,1,0,8,2,3
MSC_Apex_Analyst,4,5,2,2,1,3,0,0,8,3,2
MSC_Apex_Analyst,5,5,3,3,0,2,0,0,7,2,8
MSC_Apex_Analyst,6,5,2,2,0,8,0,0,9,8,4
MSC_Apex_Analyst,0,5,8,8,0,4,0,1,9,4,2
MSC_Apex_Analyst,1,5,4,4,0,2,0,0,4,2,5
MSC_Apex_Analyst,2,5,2,2,0,5,0,1,7,5,3
MSC_Apex_Analyst,3,5,5,5,0,3,2,0,6,3,5
MSC_Apex_Analyst,4,5,3,3,2,5,0,0,9,5,1
MSC_Apex_Analyst,5,5,5,5,0,1,1,0,3,1,1
MSC_Apex_Modeler,5,5,3,4,0,5,1,0,6,4,4
MSC_Apex_Modeler,6,5,4,5,1,6,0,0,9,4,2
MSC_Apex_Modeler,0,5,4,6,0,3,0,0,9,2,3
MSC_Apex_Modeler,1,5,2,3,0,3,4,1,11,3,2
MSC_Apex_Modeler,2,5,3,3,4,4,0,1,10,2,1
MSC_Apex_Modeler,3,5,2,4,0,3,0,1,7,1,4
MSC_Apex_Modeler,4,5,1,3,0,6,0,0,9,4,1
MSC_Apex_Modeler,5,5,4,6,0,2,1,0,6,1,3
MSC_Apex_Modeler,6,5,1,2,1,8,1,0,15,3,2
MSC_Apex_Modeler,0,5,3,8,1,3,1,0,8,2,3
MSC_Apex_Modeler,1,5,2,3,1,5,0,0,9,3,5
MSC_Apex_Modeler,2,5,3,5,0,7,1,0,8,5,6
MSC_Apex_Modeler,3,5,5,7,1,7,0,0,8,6,3
MSC_Apex_Modeler,4,5,6,7,0,6,1,0,11,3,3
MSC_Apex_Modeler,5,5,3,6,1,6,0,0,10,3,1
MSC_Apex_Modeler,6,5,3,6,0,2,2,0,8,1,3
MSC_Apex_Modeler,0,5,1,2,2,4,2,0,7,3,5
MSC_Apex_Modeler,1,5,3,4,2,6,0,1,7,5,2
MSC_Apex_Modeler,2,5,5,6,0,3,0,0,5,2,5
MSC_Apex_Modeler,3,5,2,3,0,7,0,0,10,5,4
MSC_Apex_Modeler,4,5,5,7,0,5,0,0,7,4,5
MSC_Apex_Modeler,5,5,4,5,0,5,1,0,6,5,3
MSC_Apex_Modeler,6,5,5,5,1,4,1,0,5,3,1
MSC_Apex_Modeler,0,5,3,4,1,1,2,0,6,1,1
MSC_Apex_Modeler,1,5,1,1,2,2,0,0,5,1,3
MSC_Apex_Modeler,2,5,1,2,0,5,3,0,10,3,3
MSC_Apex_Modeler,3,5,3,5,3,6,0,1,8,3,1
