event_date,feature,checkout_count,checkin_count,denied_count,unique_users,active_sessions,peak_concurrent,year,month,day,day_of_week,week,lag1,lag7,rolling_mean_7,target
2026-06-23,MATLAB,5,5,0,4,0,5,2026,6,23,1,26,9.0,8.0,6.571428571428571,5
2026-06-24,MATLAB,4,4,1,3,0,4,2026,6,24,2,26,5.0,9.0,5.857142857142857,4
2026-06-25,MATLAB,1,1,0,1,0,1,2026,6,25,3,26,4.0,6.0,5.142857142857143,1
2026-06-26,MATLAB,6,6,0,4,0,6,2026,6,26,4,26,1.0,8.0,4.857142857142857,6
2026-06-27,MATLAB,7,7,0,4,0,7,2026,6,27,5,26,6.0,7.0,4.857142857142857,7
2026-06-28,MATLAB,9,9,0,4,0,9,2026,6,28,6,26,7.0,2.0,5.857142857142857,9
2026-06-29,MATLAB,11,11,0,6,0,11,2026,6,29,0,27,9.0,9.0,6.142857142857143,11
2026-06-30,MATLAB,5,5,1,4,0,5,2026,6,30,1,27,11.0,5.0,6.142857142857143,5
2026-07-01,MATLAB,10,10,0,6,0,10,2026,7,1,2,27,5.0,4.0,7.0,10
2026-05-26,aerospace_blockset,1,1,0,1,0,1,2026,5,26,1,22,0.0,0.0,0.0,1
2026-05-29,aerospace_blockset,1,1,0,1,0,1,2026,5,29,4,22,1.0,0.0,0.0,1
2026-06-04,aerospace_blockset,1,1,0,1,0,1,2026,6,4,3,23,1.0,0.0,0.0,1
2026-06-05,aerospace_blockset,2,2,0,2,0,2,2026,6,5,4,23,1.0,0.0,0.0,2
2026-06-06,aerospace_blockset,1,1,0,1,0,1,2026,6,6,5,23,2.0,0.0,0.0,1
2026-06-07,aerospace_blockset,1,1,0,1,0,1,2026,6,7,6,23,1.0,0.0,0.0,1
2026-06-08,aerospace_blockset,1,1,0,1,0,1,2026,6,8,0,24,1.0,0.0,1.1428571428571428,1
2026-06-09,aerospace_blockset,1,1,0,1,0,1,2026,6,9,1,24,1.0,1.0,1.1428571428571428,1
2026-06-10,aerospace_blockset,2,2,0,2,0,2,2026,6,10,2,24,1.0,1.0,1.2857142857142858,2
2026-06-16,aerospace_blockset,1,1,0,1,0,1,2026,6,16,1,25,2.0,1.0,1.2857142857142858,1
2026-06-19,aerospace_blockset,4,4,0,4,0,4,2026,6,19,4,25,1.0,2.0,1.5714285714285714,4
2026-06-22,aerospace_blockset,1,1,0,1,0,1,2026,6,22,0,26,4.0,1.0,1.5714285714285714,1
2026-06-24,aerospace_blockset,1,1,0,1,0,1,2026,6,24,2,26,1.0,1.0,1.5714285714285714,1
2026-06-29,aerospace_blockset,1,1,0,1,0,1,2026,6,29,0,27,1.0,1.0,1.5714285714285714,1
2026-05-25,aerospace_toolbox,0,1,0,1,0,0,2026,5,25,0,22,0.0,0.0,0.0,0
2026-05-26,aerospace_toolbox,2,2,0,2,0,2,2026,5,26,1,22,0.0,0.0,0.0,2
2026-05-27,aerospace_toolbox,1,1,1,1,0,1,2026,5,27,2,22,2.0,0.0,0.0,1
2026-05-28,aerospace_toolbox,2,2,0,2,0,2,2026,5,28,3,22,1.0,0.0,0.0,2
2026-05-29,aerospace_toolbox,2,2,0,2,0,2,2026,5,29,4,22,2.0,0.0,0.0,2
2026-05-30,aerospace_toolbox,1,1,1,1,0,1,2026,5,30,5,22,2.0,0.0,0.0,1
2026-06-02,aerospace_toolbox,2,2,0,2,0,2,2026,6,2,1,23,1.0,0.0,1.4285714285714286,2
2026-06-03,aerospace_toolbox,2,2,0,2,0,2,2026,6,3,2,23,2.0,0.0,1.7142857142857142,2
2026-06-04,aerospace_toolbox,1,1,0,1,0,1,2026,6,4,3,23,2.0,2.0,1.5714285714285714,1
2026-06-06,aerospace_toolbox,2,2,0,2,0,2,2026,6,6,5,23,1.0,1.0,1.7142857142857142,2
2026-06-07,aerospace_toolbox,2,2,0,2,0,2,2026,6,7,6,23,2.0,2.0,1.7142857142857142,2
2026-06-08,aerospace_toolbox,1,1,1,1,0,1,2026,6,8,0,24,2.0,2.0,1.5714285714285714,1
2026-06-09,aerospace_toolbox,1,1,0,1,0,1,2026,6,9,1,24,1.0,1.0,1.5714285714285714,1
2026-06-10,aerospace_toolbox,1,1,0,1,0,1,2026,6,10,2,24,1.0,2.0,1.4285714285714286,1
2026-06-11,aerospace_toolbox,1,1,0,1,0,1,2026,6,11,3,24,1.0,2.0,1.2857142857142858,1
2026-06-12,aerospace_toolbox,3,3,0,3,0,3,2026,6,12,4,24,1.0,1.0,1.5714285714285714,3
2026-06-13,aerospace_toolbox,3,3,0,3,0,3,2026,6,13,5,24,3.0,2.0,1.7142857142857142,3
2026-06-14,aerospace_toolbox,1,1,0,1,0,1,2026,6,14,6,24,3.0,2.0,1.5714285714285714,1
2026-06-15,aerospace_toolbox,1,1,0,1,0,1,2026,6,15,0,25,1.0,1.0,1.5714285714285714,1
2026-06-17,aerospace_toolbox,1,1,0,1,0,1,2026,6,17,2,25,1.0,1.0,1.5714285714285714,1
2026-06-18,aerospace_toolbox,1,1,0,1,0,1,2026,6,18,3,25,1.0,1.0,1.5714285714285714,1
2026-06-19,aerospace_toolbox,1,1,0,1,0,1,2026,6,19,4,25,1.0,1.0,1.5714285714285714,1
2026-06-21,aerospace_toolbox,1,1,0,1,0,1,2026,6,21,6,25,1.0,3.0,1.2857142857142858,1
2026-06-23,aerospace_toolbox,5,5,2,4,0,5,2026,6,23,1,26,1.0,3.0,1.5714285714285714,5
2026-06-25,aerospace_toolbox,2,2,0,1,0,2,2026,6,25,3,26,5.0,1.0,1.7142857142857142,2
2026-06-26,aerospace_toolbox,1,1,0,1,0,1,2026,6,26,4,26,2.0,1.0,1.7142857142857142,1
2026-06-27,aerospace_toolbox,1,1,0,1,0,1,2026,6,27,5,26,1.0,1.0,1.7142857142857142,1
2026-06-28,aerospace_toolbox,2,2,0,2,0,2,2026,6,28,6,26,1.0,1.0,1.8571428571428572,2
2026-06-29,aerospace_toolbox,2,2,0,1,0,2,2026,6,29,0,27,2.0,1.0,2.0,2
2026-07-01,aerospace_toolbox,1,1,0,1,0,1,2026,7,1,2,27,2.0,1.0,2.0,1
2026-05-25,control_toolbox,1,1,0,1,0,1,2026,5,25,0,22,0.0,0.0,0.0,1
2026-05-26,control_toolbox,3,3,0,3,0,3,2026,5,26,1,22,1.0,0.0,0.0,3
2026-05-27,control_toolbox,3,3,1,3,0,3,2026,5,27,2,22,3.0,0.0,0.0,3
2026-05-28,control_toolbox,4,4,0,4,0,4,2026,5,28,3,22,3.0,0.0,0.0,4
2026-05-29,control_toolbox,1,1,0,1,0,1,2026,5,29,4,22,4.0,0.0,0.0,1
2026-05-30,control_toolbox,3,3,0,3,0,3,2026,5,30,5,22,1.0,0.0,0.0,3
2026-05-31,control_toolbox,2,2,0,2,0,2,2026,5,31,6,22,3.0,0.0,2.4285714285714284,2
2026-06-01,control_toolbox,5,5,2,4,0,5,2026,6,1,0,23,2.0,1.0,3.0,5
2026-06-02,control_toolbox,2,2,0,1,0,2,2026,6,2,1,23,5.0,3.0,2.857142857142857,2
2026-06-04,control_toolbox,2,2,0,1,0,2,2026,6,4,3,23,2.0,3.0,2.7142857142857144,2
2026-06-05,control_toolbox,2,2,0,2,0,2,2026,6,5,4,23,2.0,4.0,2.4285714285714284,2
2026-06-07,control_toolbox,4,4,0,4,0,4,2026,6,7,6,23,2.0,1.0,2.857142857142857,4
2026-06-08,control_toolbox,2,2,0,1,0,2,2026,6,8,0,24,4.0,3.0,2.7142857142857144,2
2026-06-09,control_toolbox,2,2,0,2,0,2,2026,6,9,1,24,2.0,2.0,2.7142857142857144,2
2026-06-10,control_toolbox,1,1,0,1,0,1,2026,6,10,2,24,2.0,5.0,2.142857142857143,1
2026-06-11,control_toolbox,4,4,0,2,0,4,2026,6,11,3,24,1.0,2.0,2.4285714285714284,4
2026-06-12,control_toolbox,2,2,1,1,0,2,2026,6,12,4,24,4.0,2.0,2.4285714285714284,2
2026-06-13,control_toolbox,2,2,1,2,0,2,2026,6,13,5,24,2.0,2.0,2.4285714285714284,2
2026-06-14,control_toolbox,3,3,0,3,0,3,2026,6,14,6,24,2.0,4.0,2.2857142857142856,3
2026-06-15,control_toolbox,3,3,0,2,0,3,2026,6,15,0,25,3.0,2.0,2.4285714285714284,3
2026-06-16,control_toolbox,4,4,0,2,0,4,2026,6,16,1,25,3.0,2.0,2.7142857142857144,4
2026-06-17,control_toolbox,2,2,0,2,0,2,2026,6,17,2,25,4.0,1.0,2.857142857142857,2
2026-06-18,control_toolbox,2,2,0,2,0,2,2026,6,18,3,25,2.0,4.0,2.5714285714285716,2
2026-06-19,control_toolbox,1,1,0,1,0,1,2026,6,19,4,25,2.0,2.0,2.4285714285714284,1
2026-06-20,control_toolbox,3,3,0,2,0,3,2026,6,20,5,25,1.0,2.0,2.5714285714285716,3
2026-06-21,control_toolbox,3,3,0,3,0,3,2026,6,21,6,25,3.0,3.0,2.5714285714285716,3
2026-06-22,control_toolbox,4,4,0,3,0,4,2026,6,22,0,26,3.0,3.0,2.7142857142857144,4
2026-06-23,control_toolbox,3,3,0,3,0,3,2026,6,23,1,26,4.0,4.0,2.5714285714285716,3
2026-06-24,control_toolbox,1,1,0,1,0,1,2026,6,24,2,26,3.0,2.0,2.4285714285714284,1
2026-06-25,control_toolbox,1,1,0,1,0,1,2026,6,25,3,26,1.0,2.0,2.2857142857142856,1
2026-06-27,control_toolbox,3,3,0,3,0,3,2026,6,27,5,26,1.0,1.0,2.5714285714285716,3
2026-06-28,control_toolbox,3,3,0,3,0,3,2026,6,28,6,26,3.0,3.0,2.5714285714285716,3
2026-06-29,control_toolbox,1,1,0,1,0,1,2026,6,29,0,27,3.0,3.0,2.2857142857142856,1
2026-06-30,control_toolbox,1,1,0,1,0,1,2026,6,30,1,27,1.0,4.0,1.8571428571428572,1
2026-07-01,control_toolbox,3,3,0,3,0,3,2026,7,1,2,27,1.0,3.0,1.8571428571428572,3
2026-05-25,distri_computing_toolbox,1,1,0,1,0,1,2026,5,25,0,22,0.0,0.0,0.0,1
2026-05-27,distri_computing_toolbox,1,1,0,1,0,1,2026,5,27,2,22,1.0,0.0,0.0,1
2026-05-28,distri_computing_toolbox,5,5,0,4,0,5,2026,5,28,3,22,1.0,0.0,0.0,5
2026-05-29,distri_computing_toolbox,1,1,1,1,0,1,2026,5,29,4,22,5.0,0.0,0.0,1
2026-05-31,distri_computing_toolbox,2,2,0,2,0,2,2026,5,31,6,22,1.0,0.0,0.0,2
2026-06-01,distri_computing_toolbox,1,1,0,1,0,1,2026,6,1,0,23,2.0,0.0,0.0,1
2026-06-03,distri_computing_toolbox,1,1,0,1,0,1,2026,6,3,2,23,1.0,0.0,1.7142857142857142,1
2026-06-04,distri_computing_toolbox,2,2,0,2,0,2,2026,6,4,3,23,1.0,1.0,1.8571428571428572,2
2026-06-07,distri_computing_toolbox,1,1,0,1,0,1,2026,6,7,6,23,2.0,1.0,1.8571428571428572,1
2026-06-08,distri_computing_toolbox,2,2,2,2,0,2,2026,6,8,0,24,1.0,5.0,1.4285714285714286,2
2026-06-09,distri_computing_toolbox,3,3,1,3,0,3,2026,6,9,1,24,2.0,1.0,1.7142857142857142,3
2026-06-10,distri_computing_toolbox,1,1,0,1,0,1,2026,6,10,2,24,3.0,2.0,1.5714285714285714,1
2026-06-11,distri_computing_toolbox,1,1,0,1,0,1,2026,6,11,3,24,1.0,1.0,1.5714285714285714,1
2026-06-12,distri_computing_toolbox,1,1,0,1,0,1,2026,6,12,4,24,1.0,1.0,1.5714285714285714,1
2026-06-14,distri_computing_toolbox,2,2,0,2,0,2,2026,6,14,6,24,1.0,2.0,1.5714285714285714,2
2026-06-16,distri_computing_toolbox,1,1,0,1,0,1,2026,6,16,1,25,2.0,1.0,1.5714285714285714,1
2026-06-18,distri_computing_toolbox,2,2,0,1,0,2,2026,6,18,3,25,1.0,2.0,1.5714285714285714,2
2026-06-19,distri_computing_toolbox,1,1,0,1,0,1,2026,6,19,4,25,2.0,3.0,1.2857142857142858,1
2026-06-21,distri_computing_toolbox,2,2,2,2,0,2,2026,6,21,6,25,1.0,1.0,1.4285714285714286,2
2026-06-22,distri_computing_toolbox,1,1,0,1,0,1,2026,6,22,0,26,2.0,1.0,1.4285714285714286,1
2026-06-23,distri_computing_toolbox,1,1,0,1,0,1,2026,6,23,1,26,1.0,1.0,1.4285714285714286,1
2026-06-24,distri_computing_toolbox,5,5,2,4,0,5,2026,6,24,2,26,1.0,2.0,1.8571428571428572,5
2026-06-25,distri_computing_toolbox,2,2,1,2,0,2,2026,6,25,3,26,5.0,1.0,2.0,2
2026-06-28,distri_computing_toolbox,3,3,0,3,0,3,2026,6,28,6,26,2.0,2.0,2.142857142857143,3
2026-06-29,distri_computing_toolbox,5,5,0,4,0,5,2026,6,29,0,27,3.0,1.0,2.7142857142857144,5
2026-06-30,distri_computing_toolbox,1,1,0,1,0,1,2026,6,30,1,27,5.0,2.0,2.5714285714285716,1
2026-07-01,distri_computing_toolbox,4,4,0,4,0,4,2026,7,1,2,27,1.0,1.0,3.0,4
2026-05-26,map_toolbox,4,4,0,3,0,4,2026,5,26,1,22,0.0,0.0,0.0,4
2026-05-27,map_toolbox,2,2,1,2,0,2,2026,5,27,2,22,4.0,0.0,0.0,2
2026-05-28,map_toolbox,2,2,0,2,0,2,2026,5,28,3,22,2.0,0.0,0.0,2
2026-05-29,map_toolbox,3,3,0,3,0,3,2026,5,29,4,22,2.0,0.0,0.0,3
2026-05-30,map_toolbox,3,3,0,3,0,3,2026,5,30,5,22,3.0,0.0,0.0,3
2026-05-31,map_toolbox,1,1,0,1,0,1,2026,5,31,6,22,3.0,0.0,0.0,1
2026-06-01,map_toolbox,3,3,0,1,0,3,2026,6,1,0,23,1.0,0.0,2.5714285714285716,3
2026-06-02,map_toolbox,1,1,0,1,0,1,2026,6,2,1,23,3.0,4.0,2.142857142857143,1
2026-06-03,map_toolbox,1,1,0,1,0,1,2026,6,3,2,23,1.0,2.0,2.0,1
2026-06-07,map_toolbox,2,2,0,2,0,2,2026,6,7,6,23,1.0,2.0,2.0,2
2026-06-08,map_toolbox,1,1,0,1,0,1,2026,6,8,0,24,2.0,3.0,1.7142857142857142,1
2026-06-10,map_toolbox,1,1,0,1,0,1,2026,6,10,2,24,1.0,3.0,1.4285714285714286,1
2026-06-14,map_toolbox,4,4,0,4,0,4,2026,6,14,6,24,1.0,1.0,1.8571428571428572,4
2026-06-15,map_toolbox,1,1,0,1,0,1,2026,6,15,0,25,4.0,3.0,1.5714285714285714,1
2026-06-18,map_toolbox,3,3,0,2,0,3,2026,6,18,3,25,1.0,1.0,1.8571428571428572,3
2026-06-19,map_toolbox,1,1,1,1,0,1,2026,6,19,4,25,3.0,1.0,1.8571428571428572,1
2026-06-22,map_toolbox,1,1,0,1,0,1,2026,6,22,0,26,1.0,2.0,1.7142857142857142,1
2026-06-23,map_toolbox,2,2,0,1,0,2,2026,6,23,1,26,1.0,1.0,1.8571428571428572,2
2026-06-24,map_toolbox,3,3,1,2,0,3,2026,6,24,2,26,2.0,1.0,2.142857142857143,3
2026-06-25,map_toolbox,1,1,0,1,0,1,2026,6,25,3,26,3.0,4.0,1.7142857142857142,1
2026-06-26,map_toolbox,3,3,0,3,0,3,2026,6,26,4,26,1.0,1.0,2.0,3
2026-06-27,map_toolbox,1,1,0,1,0,1,2026,6,27,5,26,3.0,3.0,1.7142857142857142,1
2026-06-28,map_toolbox,2,2,0,2,0,2,2026,6,28,6,26,1.0,1.0,1.8571428571428572,2
2026-06-30,map_toolbox,2,2,0,2,0,2,2026,6,30,1,27,2.0,1.0,2.0,2
2026-07-01,map_toolbox,3,3,0,3,0,3,2026,7,1,2,27,2.0,2.0,2.142857142857143,3
2026-05-25,polyspace_bf,1,1,0,1,0,1,2026,5,25,0,22,0.0,0.0,0.0,1
2026-05-26,polyspace_bf,1,1,0,1,0,1,2026,5,26,1,22,1.0,0.0,0.0,1
2026-05-28,polyspace_bf,2,2,0,1,0,2,2026,5,28,3,22,1.0,0.0,0.0,2
2026-05-29,polyspace_bf,1,1,0,1,0,1,2026,5,29,4,22,2.0,0.0,0.0,1
2026-05-30,polyspace_bf,1,1,0,1,0,1,2026,5,30,5,22,1.0,0.0,0.0,1
2026-05-31,polyspace_bf,1,1,0,1,0,1,2026,5,31,6,22,1.0,0.0,0.0,1
2026-06-01,polyspace_bf,2,2,0,2,0,2,2026,6,1,0,23,1.0,0.0,1.2857142857142858,2
2026-06-03,polyspace_bf,1,1,0,1,0,1,2026,6,3,2,23,2.0,1.0,1.2857142857142858,1
2026-06-04,polyspace_bf,1,1,0,1,0,1,2026,6,4,3,23,1.0,1.0,1.2857142857142858,1
2026-06-05,polyspace_bf,2,2,0,1,0,2,2026,6,5,4,23,1.0,2.0,1.2857142857142858,2
2026-06-06,polyspace_bf,2,2,0,2,0,2,2026,6,6,5,23,2.0,1.0,1.4285714285714286,2
2026-06-10,polyspace_bf,2,2,1,2,0,2,2026,6,10,2,24,2.0,1.0,1.5714285714285714,2
2026-06-12,polyspace_bf,2,2,0,1,0,2,2026,6,12,4,24,2.0,1.0,1.7142857142857142,2
2026-06-13,polyspace_bf,2,2,0,2,0,2,2026,6,13,5,24,2.0,2.0,1.7142857142857142,2
2026-06-15,polyspace_bf,3,3,0,3,0,3,2026,6,15,0,25,2.0,1.0,2.0,3
2026-06-16,polyspace_bf,1,1,0,1,0,1,2026,6,16,1,25,3.0,1.0,2.0,1
2026-06-18,polyspace_bf,1,1,0,1,0,1,2026,6,18,3,25,1.0,2.0,1.8571428571428572,1
2026-06-19,polyspace_bf,3,3,0,2,0,3,2026,6,19,4,25,1.0,2.0,2.0,3
2026-06-20,polyspace_bf,1,1,0,1,0,1,2026,6,20,5,25,3.0,2.0,1.8571428571428572,1
2026-06-21,polyspace_bf,2,2,0,2,0,2,2026,6,21,6,25,1.0,2.0,1.8571428571428572,2
2026-06-22,polyspace_bf,1,1,0,1,0,1,2026,6,22,0,26,2.0,2.0,1.7142857142857142,1
2026-06-23,polyspace_bf,1,1,0,1,0,1,2026,6,23,1,26,1.0,3.0,1.4285714285714286,1
2026-06-24,polyspace_bf,1,1,0,1,0,1,2026,6,24,2,26,1.0,1.0,1.4285714285714286,1
2026-06-25,polyspace_bf,1,1,1,1,0,1,2026,6,25,3,26,1.0,1.0,1.4285714285714286,1
2026-06-26,polyspace_bf,2,2,0,2,0,2,2026,6,26,4,26,1.0,3.0,1.2857142857142858,2
2026-06-27,polyspace_bf,1,1,0,1,0,1,2026,6,27,5,26,2.0,1.0,1.2857142857142858,1
2026-06-29,polyspace_bf,1,1,0,1,0,1,2026,6,29,0,27,1.0,2.0,1.1428571428571428,1
2026-05-25,signal_blocks,3,3,1,3,0,3,2026,5,25,0,22,0.0,0.0,0.0,3
2026-05-27,signal_blocks,2,2,0,2,0,2,2026,5,27,2,22,3.0,0.0,0.0,2
2026-05-28,signal_blocks,1,1,0,1,0,1,2026,5,28,3,22,2.0,0.0,0.0,1
2026-05-29,signal_blocks,2,2,0,2,0,2,2026,5,29,4,22,1.0,0.0,0.0,2
2026-06-01,signal_blocks,1,1,0,1,0,1,2026,6,1,0,23,2.0,0.0,0.0,1
2026-06-03,signal_blocks,1,1,0,1,0,1,2026,6,3,2,23,1.0,0.0,0.0,1
2026-06-04,signal_blocks,3,3,0,2,0,3,2026,6,4,3,23,1.0,0.0,1.8571428571428572,3
2026-06-05,signal_blocks,2,2,1,2,0,2,2026,6,5,4,23,3.0,3.0,1.7142857142857142,2
2026-06-06,signal_blocks,2,2,0,1,0,2,2026,6,6,5,23,2.0,2.0,1.7142857142857142,2
2026-06-07,signal_blocks,3,3,0,3,0,3,2026,6,7,6,23,2.0,1.0,2.0,3
2026-06-08,signal_blocks,2,2,0,2,0,2,2026,6,8,0,24,3.0,2.0,2.0,2
2026-06-09,signal_blocks,2,2,0,2,0,2,2026,6,9,1,24,2.0,1.0,2.142857142857143,2
2026-06-10,signal_blocks,3,3,0,3,0,3,2026,6,10,2,24,2.0,1.0,2.4285714285714284,3
2026-06-11,signal_blocks,3,3,0,3,0,3,2026,6,11,3,24,3.0,3.0,2.4285714285714284,3
2026-06-12,signal_blocks,2,2,0,2,0,2,2026,6,12,4,24,3.0,2.0,2.4285714285714284,2
2026-06-13,signal_blocks,2,2,0,1,0,2,2026,6,13,5,24,2.0,2.0,2.4285714285714284,2
2026-06-14,signal_blocks,3,3,0,3,0,3,2026,6,14,6,24,2.0,3.0,2.4285714285714284,3
2026-06-15,signal_blocks,5,5,0,4,0,5,2026,6,15,0,25,3.0,2.0,2.857142857142857,5
2026-06-16,signal_blocks,3,3,0,2,0,3,2026,6,16,1,25,5.0,2.0,3.0,3
2026-06-17,signal_blocks,3,3,1,2,0,3,2026,6,17,2,25,3.0,3.0,3.0,3
2026-06-19,signal_blocks,5,5,0,3,0,5,2026,6,19,4,25,3.0,3.0,3.2857142857142856,5
2026-06-20,signal_blocks,1,1,0,1,0,1,2026,6,20,5,25,5.0,2.0,3.142857142857143,1
2026-06-21,signal_blocks,2,2,0,2,0,2,2026,6,21,6,25,1.0,2.0,3.142857142857143,2
2026-06-22,signal_blocks,1,1,0,1,0,1,2026,6,22,0,26,2.0,3.0,2.857142857142857,1
2026-06-23,signal_blocks,2,2,1,2,0,2,2026,6,23,1,26,1.0,5.0,2.4285714285714284,2
2026-06-24,signal_blocks,2,2,0,2,0,2,2026,6,24,2,26,2.0,3.0,2.2857142857142856,2
2026-06-25,signal_blocks,2,2,0,2,0,2,2026,6,25,3,26,2.0,3.0,2.142857142857143,2
2026-06-26,signal_blocks,1,1,0,1,0,1,2026,6,26,4,26,2.0,5.0,1.5714285714285714,1
2026-06-28,signal_blocks,2,2,0,2,0,2,2026,6,28,6,26,1.0,1.0,1.7142857142857142,2
2026-06-29,signal_blocks,3,3,0,2,0,3,2026,6,29,0,27,2.0,2.0,1.8571428571428572,3
2026-07-01,signal_blocks,1,1,0,1,0,1,2026,7,1,2,27,3.0,1.0,1.8571428571428572,1
2026-05-25,signal_toolbox,2,2,1,2,0,2,2026,5,25,0,22,0.0,0.0,0.0,2
2026-05-26,signal_toolbox,3,3,0,2,0,3,2026,5,26,1,22,2.0,0.0,0.0,3
2026-05-27,signal_toolbox,4,4,0,3,0,4,2026,5,27,2,22,3.0,0.0,0.0,4
2026-05-28,signal_toolbox,3,3,0,2,0,3,2026,5,28,3,22,4.0,0.0,0.0,3
2026-05-29,signal_toolbox,6,6,0,4,0,6,2026,5,29,4,22,3.0,0.0,0.0,6
2026-05-30,signal_toolbox,4,4,0,3,0,4,2026,5,30,5,22,6.0,0.0,0.0,4
2026-05-31,signal_toolbox,1,1,0,1,0,1,2026,5,31,6,22,4.0,0.0,3.2857142857142856,1
2026-06-01,signal_toolbox,1,1,0,1,0,1,2026,6,1,0,23,1.0,2.0,3.142857142857143,1
2026-06-02,signal_toolbox,5,5,0,3,0,5,2026,6,2,1,23,1.0,3.0,3.4285714285714284,5
2026-06-03,signal_toolbox,2,2,0,2,0,2,2026,6,3,2,23,5.0,4.0,3.142857142857143,2
2026-06-04,signal_toolbox,4,4,0,2,0,4,2026,6,4,3,23,2.0,3.0,3.2857142857142856,4
2026-06-06,signal_toolbox,5,5,0,4,0,5,2026,6,6,5,23,4.0,6.0,3.142857142857143,5
2026-06-07,signal_toolbox,1,1,0,1,0,1,2026,6,7,6,23,5.0,4.0,2.7142857142857144,1
2026-06-08,signal_toolbox,3,3,0,3,0,3,2026,6,8,0,24,1.0,1.0,3.0,3
2026-06-09,signal_toolbox,4,4,0,3,0,4,2026,6,9,1,24,3.0,1.0,3.4285714285714284,4
2026-06-10,signal_toolbox,3,3,0,3,0,3,2026,6,10,2,24,4.0,5.0,3.142857142857143,3
2026-06-11,signal_toolbox,4,4,0,4,0,4,2026,6,11,3,24,3.0,2.0,3.4285714285714284,4
2026-06-12,signal_toolbox,4,4,1,3,0,4,2026,6,12,4,24,4.0,4.0,3.4285714285714284,4
2026-06-13,signal_toolbox,4,4,1,3,0,4,2026,6,13,5,24,4.0,5.0,3.2857142857142856,4
2026-06-15,signal_toolbox,2,2,0,2,0,2,2026,6,15,0,25,4.0,1.0,3.4285714285714284,2
2026-06-16,signal_toolbox,1,1,0,1,0,1,2026,6,16,1,25,2.0,3.0,3.142857142857143,1
2026-06-17,signal_toolbox,2,2,0,2,0,2,2026,6,17,2,25,1.0,4.0,2.857142857142857,2
2026-06-18,signal_toolbox,1,1,0,1,0,1,2026,6,18,3,25,2.0,3.0,2.5714285714285716,1
